user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,conflict_count,has_conflict,age,signup_year,signup_month,signup_date,account_age_days
USR16112,Dhriti Deshmukh,SEJAA8194O,715658320763,1967-06-04,Mumbai,Maharashtra,35119.0,Retired,2025-12-02 02:18:16,Verified,LOW,0,0,59.279945242984255,2025.0,12.0,2025-12-02,286.0
USR17216,Megha Jani,,023412025028,,Lucknow,Uttar Pradesh,80907.0,Freelancer,,Verified,MEDIUM,0,0,,,,,
USR45454,PANINI LAL,QCNTL9489O,,,Kolkata,West Bengal,11214.0,Farmer,2026-01-30 23:57:18,Pending,HIGH,10,1,,2026.0,1.0,2026-01-30,226.0
USR46189,Jack Parikh,RRVUI4059Q,,,Amritsar,Punjab,,Student,,Verified,LOW,9,1,,,,,
USR85256,Eta Ravi,YGVOI9236W,176258817110,1969-02-19,Delhi,Delhi,,Salaried,,Verified,LOW,0,0,57.56605065023956,,,,
USR20918,Vanya Chad,JDGOH0074Y,894463789078,1961-04-20,Bengaluru,Karnataka,14124.0,Self Employed,,Rejected,MEDIUM,0,0,65.40177960301163,,,,
USR22494,NIRJA SHETTY,JWZVO4240H,442946226574,1990-09-05,Chennai,Tamil Nadu,16160.0,Retired,,Rejected,MEDIUM,10,1,36.02464065708419,,,,
USR34742,Ati Dash,OOQCG9609N,985048780290,1962-12-20,Jaipur,Rajasthan,43738.0,Unemployed,,Verified,HIGH,0,0,63.73442847364819,,,,
USR83137,ria kale,,345443947743,2005-09-09,Jaipur,Rajasthan,25151.0,Freelancer,,Pending,LOW,7,1,21.013004791238878,,,,
USR99161,jalsa malhotra,QLSKS5105S,,1963-05-20,Jalandhar,Punjab,,Retired,,Rejected,LOW,10,1,63.32101300479124,,,,
USR16625,anika vora,CACWZ2722S,017979940718,,Lucknow,Uttar Pradesh,28634.0,Unemployed,,Verified,MEDIUM,1,1,,,,,
USR65060,Anirudh Bhatnagar,AIWTB3506U,,2003-06-16,Jaipur,Rajasthan,30875.0,Student,2024-05-24 07:29:05,Verified,LOW,10,1,23.247091033538673,2024.0,5.0,2024-05-24,843.0
USR13678,Reva Jaggi,,577479489696,1982-05-27,Jaipur,Rajasthan,,Gig Worker,,Pending,LOW,1,1,44.30116358658453,,,,
USR78719,IndiraChaudhary,VGLXS2856D,,1977-04-17,Ludhiana,Punjab,20231.0,Student,,Verified,LOW,9,1,49.40999315537303,,,,
USR83333,Gautam Bajwa,HLNXD7947Q,846950176261,1969-08-24,Hyderabad,Telangana,24890.0,Freelancer,,Rejected,LOW,0,0,57.05681040383299,,,,
USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20,Delhi,Delhi,26617.0,Business Owner,2024-01-03 00:50:12,Verified,LOW,0,0,57.98220396988364,2024.0,1.0,2024-01-03,985.0
USR77711,Warinder Solanki,MFDIC1823G,,1987-07-15,Pune,Maharashtra,,Gig Worker,2025-04-06 14:45:00,Pending,HIGH,0,0,39.167693360711844,2025.0,4.0,2025-04-06,525.0
USR69726,Rudra Lal,CXBKD3190N,976073035125,,Kolkata,West Bengal,,Student,,Verified,LOW,0,0,,,,,
USR53544,DANIEL GOKHALE,UFLEH5366C,,1998-07-16,Lucknow,Uttar Pradesh,32124.0,Self Employed,,Verified,HIGH,0,0,28.164271047227928,,,,
USR57699,Advik Om,MXMQW7893W,,1999-04-26,Lucknow,Uttar Pradesh,19875.0,Freelancer,,Verified,LOW,0,0,27.38672142368241,,,,
USR53382,Mekhala Golla,BOBCZ3795L,652660807695,1967-06-02,Hyderabad,Telangana,13098.0,Retired,,Verified,LOW,1,1,59.285420944558524,,,,
USR26959,Ganga Pai,JXFNR4730M,149449272703,1966-07-04,Amritsar,Punjab,19624.0,Retired,,Verified,UNKNOWN,0,0,60.19712525667351,,,,
USR13068,Megha Chandra,AVJUN6708Q,,1993-10-09,Kolkata,West Bengal,25378.0,Self Employed,,Verified,LOW,10,1,32.930869267624914,,,,
USR32767,Sanya Dalal,HBFFH5169P,584280034012,1964-01-18,Delhi,Delhi,17051.0,Gig Worker,,Verified,HIGH,0,0,62.65571526351814,,,,
USR86400,Qadim Nayak,AQHFS2686A,945287372343,1978-06-09,Hyderabad,Telangana,19485.0,Retired,2026-02-06 04:09:04,Verified,LOW,0,0,48.26557152635181,2026.0,2.0,2026-02-06,220.0
USR72012,LIAM VARKEY,CNIVL5277X,409837871341,2004-08-25,Mumbai,Maharashtra,,Salaried,2025-09-08 15:25:17,Pending,LOW,10,1,22.053388090349078,2025.0,9.0,2025-09-08,370.0
USR65078,ANAMIKA CHAUDHARY,EYKUP2541J,871855606283,1987-09-01,Jaipur,Rajasthan,16714.0,Freelancer,,Verified,LOW,9,1,39.0362765229295,,,,
USR37121,Bhavika Thaker,MKYUT2802M,015496732243,1983-07-29,Bengaluru,Karnataka,,Self Employed,,Verified,LOW,0,0,43.12936344969199,,,,
USR_64308,Vedant Lalla,,843937681323,1990-02-13,Kolkata,West Bengal,10907.0,Retired,,Verified,MEDIUM,0,0,36.58316221765914,,,,
USR13880,Krisha Borra,YWBSY7212H,,2003-09-23,Hyderabad,Telangana,,Farmer,,Verified,LOW,0,0,22.976043805612594,,,,
USR56830,Ekapad Dalal,FPHDL6481K,744698471442,1960-12-23,Jaipur,Rajasthan,22808.0,Business Owner,,Verified,HIGH,0,0,65.72484599589322,,,,
